	Genes	Counts	log2_value
0	AT1G01010	49	5.614709844115208
1	AT1G01020	41	5.357552004618084
2	AT1G01030	34	5.087462841250339
3	AT1G01040	58	5.857980995127572
4	AT1G01050	19	4.247927513443585
5	AT1G01060	4	2.0
6	AT1G01070	5	2.321928094887362
7	AT1G01080	68	6.087462841250339
8	AT1G01090	407	8.668884984266247
9	AT1G01100	95	6.569855608330948
10	AT1G01110	1	0.0
11	AT1G01120	4984	12.283088353024002
12	AT1G01130	5	2.321928094887362
13	AT1G01140	563	9.13699111208023
14	AT1G01150	1	0.0
15	AT1G01160	49	5.614709844115208
16	AT1G01170	2	1.0
17	AT1G01180	247	7.948367231584678
18	AT1G01190	1	0.0
19	AT1G01200	1	0.0
20	AT1G01210	7	2.807354922057604
21	AT1G01220	54	5.754887502163468
22	AT1G01225	1	0.0
23	AT1G01230	280	8.129283016944967
24	AT1G01240	14	3.807354922057604
25	AT1G01250	1	0.0
26	AT1G01260	683	9.41574176829009
27	AT1G01280	1	0.0
28	AT1G01290	10	3.321928094887362
29	AT1G01300	37	5.20945336562895
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	89	6.475733430966398
33	AT1G01335	1	0.0
34	AT1G01340	605	9.240791332161956
35	AT1G01350	60	5.906890595608519
36	AT1G01355	1	0.0
37	AT1G01360	16	4.0
38	AT1G01370	8	3.0
39	AT1G01380	1	0.0
40	AT1G01390	4	2.0
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	1	0.0
44	AT1G01430	4	2.0
45	AT1G01440	544	9.087462841250339
46	AT1G01450	6	2.584962500721156
47	AT1G01453	1	0.0
48	AT1G01460	14	3.807354922057604
49	AT1G01470	49	5.614709844115208
50	AT1G01480	886	9.791162888555018
51	AT1G01490	750	9.550746785383243
52	AT1G01500	139	7.118941072723508
53	AT1G01510	5	2.321928094887362
54	AT1G01520	1	0.0
55	AT1G01530	1	0.0
56	AT1G01540	7	2.807354922057604
57	AT1G01550	2701	11.399277924508967
58	AT1G01560	607	9.245552706255681
59	AT1G01570	1	0.0
60	AT1G01580	1	0.0
61	AT1G01590	1	0.0
62	AT1G01600	1	0.0
63	AT1G01610	3	1.584962500721156
64	AT1G01620	4	2.0
65	AT1G01630	28	4.807354922057604
66	AT1G01640	1	0.0
67	AT1G01650	129	7.011227255423254
68	AT1G01660	1	0.0
69	AT1G01670	1	0.0
70	AT1G01680	1	0.0
71	AT1G01690	1	0.0
72	AT1G01695	1	0.0
73	AT1G01700	1	0.0
