	Genes	Counts	log2_value
0	AT1G01010	148	7.20945336562895
1	AT1G01020	185	7.531381460516312
2	AT1G01030	11	3.4594316186372973
3	AT1G01040	1064	10.055282435501189
4	AT1G01050	427	8.73809225962049
5	AT1G01060	378	8.562242424221072
6	AT1G01070	43	5.426264754702098
7	AT1G01080	276	8.108524456778168
8	AT1G01090	800	9.643856189774725
9	AT1G01100	1072	10.066089190457772
10	AT1G01110	5	2.321928094887362
11	AT1G01120	1254	10.29232163280204
12	AT1G01130	14	3.807354922057604
13	AT1G01140	1809	10.82097669262124
14	AT1G01150	1	0.0
15	AT1G01160	365	8.51175265376738
16	AT1G01170	445	8.79766152585376
17	AT1G01180	323	8.335390354693924
18	AT1G01190	1	0.0
19	AT1G01200	2	1.0
20	AT1G01210	73	6.189824558880018
21	AT1G01220	428	8.741466986401146
22	AT1G01225	5	2.321928094887362
23	AT1G01230	418	8.707359132080883
24	AT1G01240	388	8.599912842187127
25	AT1G01250	61	5.930737337562887
26	AT1G01260	450	8.813781191217037
27	AT1G01280	1	0.0
28	AT1G01290	171	7.417852514885898
29	AT1G01300	1116	10.124121311829187
30	AT1G01305	1	0.0
31	AT1G01310	2	1.0
32	AT1G01320	2604	11.346513733165635
33	AT1G01335	1	0.0
34	AT1G01340	226	7.820178962415188
35	AT1G01350	202	7.658211482751795
36	AT1G01355	5	2.321928094887362
37	AT1G01360	120	6.906890595608519
38	AT1G01370	13	3.700439718141092
39	AT1G01380	9	3.169925001442312
40	AT1G01390	15	3.9068905956085187
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	332	8.375039431346925
44	AT1G01430	954	9.897845456005511
45	AT1G01440	373	8.543031820255237
46	AT1G01450	160	7.321928094887363
47	AT1G01453	9	3.169925001442312
48	AT1G01460	1	0.0
49	AT1G01470	1533	10.582141981658777
50	AT1G01480	18	4.169925001442312
51	AT1G01490	1131	10.14338321398982
52	AT1G01500	214	7.7414669864011465
53	AT1G01510	322	8.330916878114618
54	AT1G01520	9	3.169925001442312
55	AT1G01530	1	0.0
56	AT1G01540	436	8.768184324776927
57	AT1G01550	2583	11.334831928118
58	AT1G01560	377	8.558420713268664
59	AT1G01570	20	4.321928094887363
60	AT1G01580	5	2.321928094887362
61	AT1G01590	1	0.0
62	AT1G01600	3	1.584962500721156
63	AT1G01610	1489	10.5401280385821
64	AT1G01620	386	8.59245703726808
65	AT1G01630	1240	10.276124405274238
66	AT1G01640	39	5.285402218862249
67	AT1G01650	1286	10.328674927327947
68	AT1G01660	52	5.700439718141092
69	AT1G01670	78	6.285402218862249
