	Genes	Counts	log2_value
0	AT1G01010	125	6.965784284662087
1	AT1G01020	177	7.467605550082998
2	AT1G01030	9	3.169925001442312
3	AT1G01040	857	9.7431513941125
4	AT1G01050	413	8.689997971419446
5	AT1G01060	165	7.366322214245816
6	AT1G01070	64	6.0
7	AT1G01080	278	8.118941072723507
8	AT1G01090	847	9.726218159332198
9	AT1G01100	864	9.754887502163468
10	AT1G01110	3	1.584962500721156
11	AT1G01120	510	8.994353436858859
12	AT1G01130	10	3.321928094887362
13	AT1G01140	1449	10.50084187955693
14	AT1G01150	1	0.0
15	AT1G01160	362	8.499845887083206
16	AT1G01170	489	8.933690654952233
17	AT1G01180	311	8.280770770130603
18	AT1G01190	2	1.0
19	AT1G01200	2	1.0
20	AT1G01210	60	5.906890595608519
21	AT1G01220	402	8.651051691178928
22	AT1G01225	1	0.0
23	AT1G01230	417	8.703903573444663
24	AT1G01240	503	8.974414589805527
25	AT1G01250	62	5.954196310386875
26	AT1G01260	349	8.447083226209653
27	AT1G01280	1	0.0
28	AT1G01290	175	7.451211111832329
29	AT1G01300	739	9.52943055414615
30	AT1G01305	1	0.0
31	AT1G01310	2	1.0
32	AT1G01320	3164	11.627533884472792
33	AT1G01335	1	0.0
34	AT1G01340	287	8.164906926675688
35	AT1G01350	195	7.60733031374961
36	AT1G01355	3	1.584962500721156
37	AT1G01360	157	7.294620748891627
38	AT1G01370	4	2.0
39	AT1G01380	1	0.0
40	AT1G01390	21	4.392317422778761
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	256	8.0
44	AT1G01430	802	9.64745842645492
45	AT1G01440	414	8.693486957499324
46	AT1G01450	187	7.546894459887636
47	AT1G01453	30	4.906890595608519
48	AT1G01460	1	0.0
49	AT1G01470	1632	10.672425341971495
50	AT1G01480	22	4.459431618637297
51	AT1G01490	1544	10.59245703726808
52	AT1G01500	247	7.948367231584678
53	AT1G01510	261	8.027905996569885
54	AT1G01520	5	2.321928094887362
55	AT1G01530	1	0.0
56	AT1G01540	266	8.055282435501189
57	AT1G01550	2722	11.410451351503994
58	AT1G01560	385	8.588714635582264
59	AT1G01570	16	4.0
60	AT1G01580	10	3.321928094887362
61	AT1G01590	1	0.0
62	AT1G01600	4	2.0
63	AT1G01610	950	9.89178370321831
64	AT1G01620	386	8.59245703726808
65	AT1G01630	1187	10.213104219641906
66	AT1G01640	36	5.169925001442312
67	AT1G01650	1371	10.421012855779226
68	AT1G01660	36	5.169925001442312
69	AT1G01670	77	6.266786540694901
70	AT1G01680	289	8.174925682500678
71	AT1G01690	28	4.807354922057604
72	AT1G01695	7	2.807354922057604
73	AT1G01700	66	6.044394119358453
74	AT1G01710	623	9.283088353024002
75	AT1G01715	19	4.247927513443585
76	AT1G01720	631	9.30149619498255
77	AT1G01725	117	6.870364719583405
78	AT1G01730	450	8.813781191217037
79	AT1G01740	131	7.03342300153745
80	AT1G01750	12	3.584962500721156
81	AT1G01760	26	4.700439718141092
82	AT1G01770	317	8.308339030139408
83	AT1G01780	135	7.076815597050831
84	AT1G01790	411	8.682994583681683
85	AT1G01800	561	9.131856960608793
86	AT1G01810	12	3.584962500721156
87	AT1G01820	1016	9.988684686772165
88	AT1G01830	852	9.734709620225837
89	AT1G01840	2	1.0
90	AT1G01860	80	6.321928094887363
91	AT1G01880	8	3.0
92	AT1G01900	15	3.9068905956085187
93	AT1G01910	456	8.832890014164741
94	AT1G01920	223	7.800899899920305
95	AT1G01930	155	7.2761244052742375
96	AT1G01940	111	6.794415866350106
97	AT1G01950	289	8.174925682500678
98	AT1G01960	1694	10.726218159332198
99	AT1G01970	69	6.108524456778169
100	AT1G01980	1	0.0
101	AT1G01990	157	7.294620748891627
102	AT1G02000	88	6.459431618637297
103	AT1G02010	139	7.118941072723508
104	AT1G02020	210	7.714245517666122
105	AT1G02030	1	0.0
106	AT1G02040	2	1.0
107	AT1G02050	114	6.832890014164741
108	AT1G02060	133	7.05528243550119
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	2550	11.31628153174622
