	Genes	Counts	log2_value
0	AT1G01010	66	6.044394119358453
1	AT1G01020	121	6.918863237274595
2	AT1G01030	20	4.321928094887363
3	AT1G01040	899	9.812177305514448
4	AT1G01050	715	9.481799431665753
5	AT1G01060	10961	13.420091804602315
6	AT1G01070	55	5.78135971352466
7	AT1G01080	602	9.233619676759702
8	AT1G01090	1372	10.422064766172813
9	AT1G01100	641	9.324180546618742
10	AT1G01110	5	2.321928094887362
11	AT1G01120	1093	10.094077685671905
12	AT1G01130	11	3.4594316186372973
13	AT1G01140	1785	10.801708358916462
14	AT1G01150	1	0.0
15	AT1G01160	252	7.977279923499917
16	AT1G01170	544	9.087462841250339
17	AT1G01180	333	8.379378367071261
18	AT1G01190	3	1.584962500721156
19	AT1G01200	2	1.0
20	AT1G01210	79	6.303780748177103
21	AT1G01220	393	8.618385502258606
22	AT1G01225	7	2.807354922057604
23	AT1G01230	192	7.584962500721156
24	AT1G01240	269	8.071462362556623
25	AT1G01250	20	4.321928094887363
26	AT1G01260	160	7.321928094887363
27	AT1G01280	1	0.0
28	AT1G01290	121	6.918863237274595
29	AT1G01300	157	7.294620748891627
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	6979	12.7688046164558
33	AT1G01335	1	0.0
34	AT1G01340	356	8.475733430966399
35	AT1G01350	184	7.523561956057013
36	AT1G01355	10	3.321928094887362
37	AT1G01360	214	7.7414669864011465
38	AT1G01370	4	2.0
39	AT1G01380	1	0.0
40	AT1G01390	214	7.7414669864011465
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	265	8.049848549450562
44	AT1G01430	706	9.46352437327118
45	AT1G01440	314	8.294620748891628
46	AT1G01450	80	6.321928094887363
47	AT1G01453	6	2.584962500721156
48	AT1G01460	1	0.0
49	AT1G01470	542	9.08214904135387
50	AT1G01480	29	4.857980995127572
51	AT1G01490	1674	10.709083812550343
52	AT1G01500	83	6.3750394313469245
53	AT1G01510	236	7.882643049361842
54	AT1G01520	181	7.499845887083206
55	AT1G01530	3	1.584962500721156
56	AT1G01540	801	9.64565843240871
57	AT1G01550	2271	11.149111990706889
58	AT1G01560	84	6.392317422778761
59	AT1G01570	4	2.0
60	AT1G01580	61	5.930737337562887
61	AT1G01590	27	4.754887502163468
62	AT1G01600	1	0.0
63	AT1G01610	407	8.668884984266247
64	AT1G01620	929	9.859534786382653
65	AT1G01630	432	8.754887502163468
66	AT1G01640	28	4.807354922057604
67	AT1G01650	547	9.095397022792557
68	AT1G01660	8	3.0
69	AT1G01670	33	5.044394119358453
70	AT1G01680	59	5.882643049361842
71	AT1G01690	10	3.321928094887362
72	AT1G01695	3	1.584962500721156
73	AT1G01700	15	3.9068905956085187
74	AT1G01710	436	8.768184324776927
75	AT1G01715	15	3.9068905956085187
76	AT1G01720	255	7.994353436858858
77	AT1G01725	76	6.247927513443585
78	AT1G01730	262	8.03342300153745
79	AT1G01740	168	7.392317422778761
80	AT1G01750	7	2.807354922057604
81	AT1G01760	27	4.754887502163468
82	AT1G01770	195	7.60733031374961
83	AT1G01780	91	6.507794640198696
84	AT1G01790	3264	11.672425341971495
85	AT1G01800	738	9.527477006060396
86	AT1G01810	4	2.0
87	AT1G01820	683	9.41574176829009
88	AT1G01830	304	8.247927513443585
89	AT1G01840	8	3.0
90	AT1G01860	172	7.426264754702098
91	AT1G01880	12	3.584962500721156
92	AT1G01900	6	2.584962500721156
93	AT1G01910	331	8.370687406807217
94	AT1G01920	127	6.9886846867721655
95	AT1G01930	127	6.9886846867721655
96	AT1G01940	73	6.189824558880018
97	AT1G01950	214	7.7414669864011465
98	AT1G01960	938	9.873444112515376
99	AT1G01970	338	8.400879436282183
100	AT1G01980	1	0.0
101	AT1G01990	260	8.022367813028454
102	AT1G02000	137	7.098032082960526
103	AT1G02010	186	7.539158811108031
104	AT1G02020	238	7.894817763307944
105	AT1G02030	1	0.0
106	AT1G02040	3	1.584962500721156
107	AT1G02050	59	5.882643049361842
108	AT1G02060	94	6.554588851677638
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	1755	10.777255315191923
113	AT1G02090	188	7.554588851677638
114	AT1G02100	464	8.857980995127573
115	AT1G02110	160	7.321928094887363
116	AT1G02120	1094	10.095397022792557
117	AT1G02130	282	8.139551352398794
118	AT1G02140	472	8.88264304936184
119	AT1G02145	209	7.7073591320808825
120	AT1G02150	824	9.686500527183219
121	AT1G02160	81	6.339850002884624
122	AT1G02170	423	8.72451385311995
123	AT1G02180	14	3.807354922057604
124	AT1G02190	1	0.0
125	AT1G02205	1	0.0
126	AT1G02210	1	0.0
127	AT1G02220	121	6.918863237274595
128	AT1G02230	23	4.523561956057013
129	AT1G02250	1	0.0
130	AT1G02260	200	7.643856189774724
131	AT1G02270	191	7.577428828035749
132	AT1G02280	380	8.569855608330947
