	Genes	Counts	log2_value
0	AT1G01010	127	6.9886846867721655
1	AT1G01020	166	7.3750394313469245
2	AT1G01030	21	4.392317422778761
3	AT1G01040	1335	10.382624026574916
4	AT1G01050	1609	10.651948610723446
5	AT1G01060	1059	10.048486873992337
6	AT1G01070	109	6.768184324776926
7	AT1G01080	1585	10.63026712502677
8	AT1G01090	1616	10.658211482751796
9	AT1G01100	893	9.802516365121223
10	AT1G01110	19	4.247927513443585
11	AT1G01120	3832	11.90388184573618
12	AT1G01130	24	4.584962500721156
13	AT1G01140	2062	11.00982861736811
14	AT1G01150	1	0.0
15	AT1G01160	396	8.62935662007961
16	AT1G01170	1086	10.084808387804362
17	AT1G01180	320	8.321928094887362
18	AT1G01190	10	3.321928094887362
19	AT1G01200	5	2.321928094887362
20	AT1G01210	70	6.129283016944966
21	AT1G01220	784	9.614709844115207
22	AT1G01225	11	3.4594316186372973
23	AT1G01230	332	8.375039431346925
24	AT1G01240	200	7.643856189774724
25	AT1G01250	145	7.1799090900149345
26	AT1G01260	177	7.467605550082998
27	AT1G01280	1	0.0
28	AT1G01290	204	7.672425341971495
29	AT1G01300	500	8.965784284662087
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	10563	13.366732012584288
33	AT1G01335	1	0.0
34	AT1G01340	204	7.672425341971495
35	AT1G01350	245	7.936637939002571
36	AT1G01355	12	3.584962500721156
37	AT1G01360	524	9.03342300153745
38	AT1G01370	4	2.0
39	AT1G01380	14	3.807354922057604
40	AT1G01390	247	7.948367231584678
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	464	8.857980995127573
44	AT1G01430	714	9.479780264029099
45	AT1G01440	362	8.499845887083206
46	AT1G01450	231	7.851749041416057
47	AT1G01453	2	1.0
48	AT1G01460	1	0.0
49	AT1G01470	1801	10.814582465906277
50	AT1G01480	2	1.0
51	AT1G01490	906	9.823367240046235
52	AT1G01500	110	6.78135971352466
53	AT1G01510	347	8.43879185257826
54	AT1G01520	60	5.906890595608519
