	Genes	Counts	log2_value
0	AT1G01010	390	8.60733031374961
1	AT1G01020	141	7.139551352398794
2	AT1G01030	60	5.906890595608519
3	AT1G01040	1177	10.200898605038445
4	AT1G01050	858	9.744833837499545
5	AT1G01060	137	7.098032082960526
6	AT1G01070	112	6.807354922057604
7	AT1G01080	635	9.310612781659529
8	AT1G01090	2199	11.102631888854969
9	AT1G01100	1281	10.323054760341646
10	AT1G01110	112	6.807354922057604
11	AT1G01120	662	9.370687406807217
12	AT1G01130	23	4.523561956057013
13	AT1G01140	2997	11.549303368513575
14	AT1G01150	2	1.0
15	AT1G01160	503	8.974414589805527
16	AT1G01170	297	8.214319120800766
17	AT1G01180	677	9.403012023574997
18	AT1G01190	32	5.0
19	AT1G01200	17	4.087462841250339
20	AT1G01210	56	5.807354922057604
21	AT1G01220	561	9.131856960608793
22	AT1G01225	25	4.643856189774724
23	AT1G01230	424	8.727920454563199
24	AT1G01240	674	9.396604781181859
25	AT1G01250	3	1.584962500721156
26	AT1G01260	345	8.430452551665532
27	AT1G01280	12	3.584962500721156
28	AT1G01290	189	7.562242424221073
29	AT1G01300	1325	10.371776644337924
30	AT1G01305	1	0.0
31	AT1G01310	2	1.0
32	AT1G01320	9038	13.141787841671004
33	AT1G01335	1	0.0
34	AT1G01340	1462	10.513727595952437
35	AT1G01350	399	8.640244936222345
36	AT1G01355	1	0.0
37	AT1G01360	171	7.417852514885898
38	AT1G01370	48	5.584962500721156
39	AT1G01380	3	1.584962500721156
40	AT1G01390	59	5.882643049361842
41	AT1G01400	2	1.0
42	AT1G01410	1	0.0
43	AT1G01420	140	7.129283016944966
44	AT1G01430	970	9.92184093707449
45	AT1G01440	818	9.67595703294175
46	AT1G01450	283	8.144658242831882
47	AT1G01453	6	2.584962500721156
48	AT1G01460	1	0.0
49	AT1G01470	961	9.90839262077375
50	AT1G01480	895	9.805743872151618
51	AT1G01490	2544	11.312882955284355
52	AT1G01500	300	8.228818690495881
53	AT1G01510	658	9.361943773735241
54	AT1G01520	8	3.0
55	AT1G01530	3	1.584962500721156
56	AT1G01540	1124	10.134426320220927
57	AT1G01550	4178	12.028596777067108
58	AT1G01560	630	9.29920801838728
59	AT1G01570	18	4.169925001442312
60	AT1G01580	5	2.321928094887362
61	AT1G01590	9	3.169925001442312
62	AT1G01600	85	6.409390936137702
63	AT1G01610	805	9.65284497300198
64	AT1G01620	2869	11.486332252768664
65	AT1G01630	838	9.710806433699352
66	AT1G01640	108	6.754887502163468
67	AT1G01650	1579	10.624795455860237
68	AT1G01660	44	5.459431618637297
69	AT1G01670	50	5.643856189774724
70	AT1G01680	139	7.118941072723508
71	AT1G01690	46	5.523561956057013
72	AT1G01695	8	3.0
73	AT1G01700	51	5.672425341971495
74	AT1G01710	1044	10.027905996569885
75	AT1G01715	18	4.169925001442312
76	AT1G01720	1157	10.17617314910749
77	AT1G01725	51	5.672425341971495
78	AT1G01730	541	9.079484783826816
79	AT1G01740	159	7.312882955284356
80	AT1G01750	10	3.321928094887362
81	AT1G01760	45	5.491853096329675
82	AT1G01770	728	9.507794640198696
83	AT1G01780	259	8.016808287686555
84	AT1G01790	1904	10.894817763307943
85	AT1G01800	1281	10.323054760341646
86	AT1G01810	11	3.4594316186372973
87	AT1G01820	1684	10.717676423066395
88	AT1G01830	675	9.398743691938193
89	AT1G01840	9	3.169925001442312
90	AT1G01860	128	7.0
91	AT1G01880	18	4.169925001442312
92	AT1G01900	385	8.588714635582264
93	AT1G01910	976	9.930737337562887
94	AT1G01920	243	7.924812503605781
95	AT1G01930	292	8.189824558880018
96	AT1G01940	180	7.491853096329675
97	AT1G01950	396	8.62935662007961
98	AT1G01960	2849	11.476239906323851
99	AT1G01970	263	8.038918989292302
100	AT1G01980	1	0.0
101	AT1G01990	370	8.531381460516313
102	AT1G02000	291	8.184875342908283
103	AT1G02010	190	7.569855608330948
104	AT1G02020	442	8.787902559391432
105	AT1G02030	8	3.0
106	AT1G02040	2	1.0
107	AT1G02050	177	7.467605550082998
108	AT1G02060	180	7.491853096329675
109	AT1G02065	175	7.451211111832329
110	AT1G02067	1	0.0
111	AT1G02070	8	3.0
112	AT1G02080	4596	12.166163082646113
113	AT1G02090	571	9.157346935362844
114	AT1G02100	885	9.78953364497036
115	AT1G02110	366	8.515699838284043
116	AT1G02120	2855	11.479275030250205
117	AT1G02130	641	9.324180546618742
118	AT1G02140	999	9.964340867792417
119	AT1G02145	461	8.848622940429339
120	AT1G02150	893	9.802516365121223
121	AT1G02160	87	6.442943495848728
122	AT1G02170	1911	10.900112062977456
123	AT1G02180	41	5.357552004618084
124	AT1G02190	138	7.108524456778169
125	AT1G02205	947	9.887220615468385
126	AT1G02210	1	0.0
127	AT1G02220	860	9.74819284958946
128	AT1G02230	128	7.0
129	AT1G02250	2	1.0
130	AT1G02260	537	9.068778277985412
131	AT1G02270	378	8.562242424221072
132	AT1G02280	423	8.72451385311995
133	AT1G02290	167	7.383704292474052
134	AT1G02300	278	8.118941072723507
135	AT1G02305	2257	11.140190703191836
136	AT1G02310	15	3.9068905956085187
137	AT1G02320	1	0.0
138	AT1G02330	448	8.807354922057604
139	AT1G02335	272	8.087462841250339
140	AT1G02340	36	5.169925001442312
141	AT1G02350	4	2.0
142	AT1G02360	759	9.567956075415466
143	AT1G02370	81	6.339850002884624
144	AT1G02380	35	5.129283016944966
145	AT1G02390	160	7.321928094887363
146	AT1G02400	276	8.108524456778168
147	AT1G02405	18	4.169925001442312
148	AT1G02410	445	8.79766152585376
149	AT1G02420	81	6.339850002884624
150	AT1G02430	26	4.700439718141092
151	AT1G02440	26	4.700439718141092
152	AT1G02450	94	6.554588851677638
153	AT1G02460	164	7.357552004618084
154	AT1G02470	667	9.381542951184585
155	AT1G02475	1362	10.411510988012072
156	AT1G02490	1	0.0
157	AT1G02500	15495	13.919515134473578
158	AT1G02510	4	2.0
159	AT1G02520	767	9.583082767502933
160	AT1G02530	11	3.4594316186372973
161	AT1G02540	1	0.0
162	AT1G02550	1	0.0
163	AT1G02560	5200	12.344295907915816
164	AT1G02570	11	3.4594316186372973
165	AT1G02575	1	0.0
166	AT1G02580	115	6.845490050944375
167	AT1G02590	1	0.0
168	AT1G02610	417	8.703903573444663
169	AT1G02620	9	3.169925001442312
170	AT1G02630	16	4.0
171	AT1G02640	281	8.134426320220927
172	AT1G02650	32	5.0
173	AT1G02660	1268	10.308339030139408
174	AT1G02670	58	5.857980995127572
175	AT1G02680	140	7.129283016944966
176	AT1G02690	119	6.894817763307944
177	AT1G02700	4	2.0
178	AT1G02705	1	0.0
179	AT1G02710	1	0.0
180	AT1G02720	153	7.257387842692652
181	AT1G02730	213	7.734709620225838
182	AT1G02740	124	6.954196310386875
183	AT1G02750	175	7.451211111832329
184	AT1G02770	2	1.0
185	AT1G02780	5972	12.543998450134541
186	AT1G02790	37	5.20945336562895
187	AT1G02800	25	4.643856189774724
188	AT1G02810	12	3.584962500721156
