	Genes	Counts	log2_value
0	AT1G01010	93	6.539158811108031
1	AT1G01020	142	7.149747119504682
2	AT1G01030	7	2.807354922057604
3	AT1G01040	1058	10.047123912114026
4	AT1G01050	1247	10.28424574982967
5	AT1G01060	799	9.642051692927977
6	AT1G01070	90	6.491853096329675
7	AT1G01080	1371	10.421012855779226
8	AT1G01090	1368	10.417852514885897
9	AT1G01100	774	9.59618975614441
10	AT1G01110	11	3.4594316186372973
11	AT1G01120	2952	11.527477006060396
12	AT1G01130	16	4.0
13	AT1G01140	1619	10.660887270302567
14	AT1G01150	1	0.0
15	AT1G01160	374	8.546894459887637
16	AT1G01170	863	9.753216749178955
17	AT1G01180	340	8.409390936137703
18	AT1G01190	3	1.584962500721156
19	AT1G01200	12	3.584962500721156
20	AT1G01210	68	6.087462841250339
21	AT1G01220	616	9.266786540694902
22	AT1G01225	5	2.321928094887362
23	AT1G01230	292	8.189824558880018
24	AT1G01240	172	7.426264754702098
25	AT1G01250	169	7.400879436282184
26	AT1G01260	169	7.400879436282184
27	AT1G01280	1	0.0
28	AT1G01290	220	7.78135971352466
29	AT1G01300	429	8.744833837499545
30	AT1G01305	1	0.0
31	AT1G01310	2	1.0
32	AT1G01320	8136	12.9901039638575
33	AT1G01335	1	0.0
34	AT1G01340	177	7.467605550082998
35	AT1G01350	206	7.6865005271832185
36	AT1G01355	18	4.169925001442312
37	AT1G01360	456	8.832890014164741
38	AT1G01370	4	2.0
39	AT1G01380	13	3.700439718141092
40	AT1G01390	221	7.787902559391432
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	383	8.581200581924957
44	AT1G01430	574	9.164906926675688
45	AT1G01440	336	8.39231742277876
46	AT1G01450	150	7.22881869049588
47	AT1G01453	1	0.0
48	AT1G01460	1	0.0
49	AT1G01470	1350	10.398743691938193
50	AT1G01480	2	1.0
51	AT1G01490	891	9.799281621521923
52	AT1G01500	101	6.658211482751795
53	AT1G01510	239	7.900866807980749
54	AT1G01520	64	6.0
55	AT1G01530	2	1.0
56	AT1G01540	1247	10.28424574982967
57	AT1G01550	2672	11.383704292474052
58	AT1G01560	26	4.700439718141092
59	AT1G01570	19	4.247927513443585
60	AT1G01580	45	5.491853096329675
61	AT1G01590	139	7.118941072723508
62	AT1G01600	3	1.584962500721156
63	AT1G01610	745	9.541096615349524
64	AT1G01620	1789	10.804937672051908
65	AT1G01630	722	9.49585502688717
66	AT1G01640	45	5.491853096329675
67	AT1G01650	655	9.355351096424812
68	AT1G01660	32	5.0
69	AT1G01670	65	6.022367813028454
70	AT1G01680	28	4.807354922057604
71	AT1G01690	20	4.321928094887363
72	AT1G01695	5	2.321928094887362
73	AT1G01700	49	5.614709844115208
74	AT1G01710	598	9.224001674198105
75	AT1G01715	8	3.0
76	AT1G01720	256	8.0
77	AT1G01725	121	6.918863237274595
78	AT1G01730	293	8.194756854422248
79	AT1G01740	140	7.129283016944966
80	AT1G01750	12	3.584962500721156
81	AT1G01760	44	5.459431618637297
82	AT1G01770	400	8.643856189774725
83	AT1G01780	168	7.392317422778761
84	AT1G01790	7219	12.817583288677616
85	AT1G01800	1067	10.059344460824425
86	AT1G01810	4	2.0
87	AT1G01820	864	9.754887502163468
88	AT1G01830	396	8.62935662007961
89	AT1G01840	20	4.321928094887363
90	AT1G01860	300	8.228818690495881
91	AT1G01880	26	4.700439718141092
92	AT1G01900	13	3.700439718141092
93	AT1G01910	359	8.487840033823051
94	AT1G01920	128	7.0
95	AT1G01930	146	7.189824558880018
96	AT1G01940	81	6.339850002884624
97	AT1G01950	277	8.113742166049189
98	AT1G01960	949	9.89026427702111
99	AT1G01970	588	9.199672344836364
100	AT1G01980	1	0.0
101	AT1G01990	287	8.164906926675688
102	AT1G02000	135	7.076815597050831
103	AT1G02010	251	7.971543553950772
104	AT1G02020	273	8.092757140919852
105	AT1G02030	1	0.0
106	AT1G02040	2	1.0
107	AT1G02050	61	5.930737337562887
108	AT1G02060	65	6.022367813028454
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	2029	10.98655314975666
113	AT1G02090	236	7.882643049361842
114	AT1G02100	591	9.207014320177532
115	AT1G02110	179	7.483815777264256
116	AT1G02120	1443	10.494855584491198
117	AT1G02130	418	8.707359132080883
118	AT1G02140	714	9.479780264029099
119	AT1G02145	374	8.546894459887637
120	AT1G02150	1033	10.01262453886506
121	AT1G02160	140	7.129283016944966
122	AT1G02170	319	8.31741261376487
123	AT1G02180	72	6.169925001442312
124	AT1G02190	1	0.0
125	AT1G02205	171	7.417852514885898
126	AT1G02210	1	0.0
127	AT1G02220	32	5.0
128	AT1G02230	7	2.807354922057604
129	AT1G02250	2	1.0
130	AT1G02260	434	8.761551232444479
131	AT1G02270	352	8.459431618637296
132	AT1G02280	366	8.515699838284043
133	AT1G02290	129	7.011227255423254
134	AT1G02300	558	9.124121311829187
135	AT1G02305	1738	10.7632123668144
136	AT1G02310	1	0.0
137	AT1G02320	1	0.0
138	AT1G02330	222	7.794415866350106
139	AT1G02335	17	4.087462841250339
140	AT1G02340	14	3.807354922057604
141	AT1G02350	10	3.321928094887362
142	AT1G02360	27	4.754887502163468
143	AT1G02370	46	5.523561956057013
144	AT1G02380	18	4.169925001442312
145	AT1G02390	177	7.467605550082998
146	AT1G02400	23	4.523561956057013
147	AT1G02405	9	3.169925001442312
148	AT1G02410	312	8.285402218862249
149	AT1G02420	42	5.392317422778761
150	AT1G02430	14	3.807354922057604
151	AT1G02440	2	1.0
152	AT1G02450	4	2.0
153	AT1G02460	8	3.0
154	AT1G02470	42	5.392317422778761
155	AT1G02475	1648	10.686500527183219
156	AT1G02490	1	0.0
157	AT1G02500	2973	11.537703747907644
158	AT1G02510	1	0.0
159	AT1G02520	4	2.0
160	AT1G02530	1	0.0
161	AT1G02540	1	0.0
162	AT1G02550	1	0.0
163	AT1G02560	4500	12.1357092861044
164	AT1G02570	1	0.0
165	AT1G02575	1	0.0
166	AT1G02580	1	0.0
167	AT1G02590	1	0.0
168	AT1G02610	41	5.357552004618084
169	AT1G02620	1	0.0
170	AT1G02630	1	0.0
171	AT1G02640	13	3.700439718141092
172	AT1G02650	4	2.0
173	AT1G02660	50	5.643856189774724
174	AT1G02670	3	1.584962500721156
175	AT1G02680	113	6.820178962415188
176	AT1G02690	24	4.584962500721156
177	AT1G02700	8	3.0
178	AT1G02705	1	0.0
179	AT1G02710	1	0.0
180	AT1G02720	41	5.357552004618084
181	AT1G02730	14	3.807354922057604
182	AT1G02740	114	6.832890014164741
183	AT1G02750	150	7.22881869049588
184	AT1G02770	33	5.044394119358453
185	AT1G02780	3612	11.818582177480858
186	AT1G02790	1	0.0
187	AT1G02800	4	2.0
188	AT1G02810	1	0.0
189	AT1G02813	1	0.0
190	AT1G02816	127	6.9886846867721655
191	AT1G02820	21	4.392317422778761
192	AT1G02830	1	0.0
193	AT1G02840	757	9.564149489985732
194	AT1G02850	556	9.118941072723507
195	AT1G02860	145	7.1799090900149345
196	AT1G02870	108	6.754887502163468
197	AT1G02880	462	8.851749041416058
198	AT1G02890	1590	10.634811050171718
199	AT1G02900	6	2.584962500721156
200	AT1G02910	1369	10.4189067312579
201	AT1G02920	298	8.219168520462162
202	AT1G02930	2857	11.480285320936371
203	AT1G02940	29	4.857980995127572
204	AT1G02950	11	3.4594316186372973
205	AT1G02960	336	8.39231742277876
206	AT1G02965	1	0.0
207	AT1G02970	11	3.4594316186372973
208	AT1G02980	1	0.0
209	AT1G02990	351	8.45532722030456
210	AT1G03000	420	8.714245517666123
211	AT1G03010	8	3.0
212	AT1G03020	11	3.4594316186372973
213	AT1G03030	290	8.179909090014934
214	AT1G03040	542	9.08214904135387
215	AT1G03050	1	0.0
216	AT1G03055	106	6.727920454563199
217	AT1G03060	1069	10.06204613772049
218	AT1G03070	8	3.0
219	AT1G03080	1349	10.397674632948268
220	AT1G03090	351	8.45532722030456
221	AT1G03100	38	5.247927513443585
222	AT1G03103	1	0.0
223	AT1G03106	1	0.0
224	AT1G03110	35	5.129283016944966
225	AT1G03120	1	0.0
226	AT1G03130	1349	10.397674632948268
227	AT1G03140	325	8.344295907915816
228	AT1G03150	113	6.820178962415188
229	AT1G03160	1417	10.468624042918018
230	AT1G03165	6	2.584962500721156
231	AT1G03170	3	1.584962500721156
232	AT1G03180	8	3.0
233	AT1G03190	143	7.159871336778389
234	AT1G03200	22	4.459431618637297
235	AT1G03210	202	7.658211482751795
236	AT1G03220	167	7.383704292474052
237	AT1G03230	57	5.832890014164741
238	AT1G03240	1	0.0
239	AT1G03250	290	8.179909090014934
240	AT1G03260	75	6.22881869049588
241	AT1G03270	41	5.357552004618084
242	AT1G03280	407	8.668884984266247
243	AT1G03290	728	9.507794640198696
244	AT1G03300	66	6.044394119358453
245	AT1G03310	1403	10.454299293619899
246	AT1G03320	3	1.584962500721156
247	AT1G03325	1	0.0
248	AT1G03330	210	7.714245517666122
