	Genes	Counts	log2_value
0	AT1G01010	123	6.94251450533924
1	AT1G01020	124	6.954196310386875
2	AT1G01030	11	3.4594316186372973
3	AT1G01040	632	9.303780748177102
4	AT1G01050	259	8.016808287686555
5	AT1G01060	489	8.933690654952233
6	AT1G01070	97	6.599912842187128
7	AT1G01080	157	7.294620748891627
8	AT1G01090	644	9.330916878114618
9	AT1G01100	606	9.243173983472952
10	AT1G01110	3	1.584962500721156
11	AT1G01120	258	8.011227255423254
12	AT1G01130	4	2.0
13	AT1G01140	1250	10.287712379549449
14	AT1G01150	1	0.0
15	AT1G01160	256	8.0
16	AT1G01170	200	7.643856189774724
17	AT1G01180	335	8.388017285345136
18	AT1G01190	2	1.0
19	AT1G01200	2	1.0
20	AT1G01210	49	5.614709844115208
21	AT1G01220	213	7.734709620225838
22	AT1G01225	1	0.0
23	AT1G01230	268	8.066089190457772
24	AT1G01240	366	8.515699838284043
25	AT1G01250	31	4.954196310386875
26	AT1G01260	485	8.92184093707449
27	AT1G01280	1	0.0
28	AT1G01290	111	6.794415866350106
29	AT1G01300	208	7.700439718141092
30	AT1G01305	1	0.0
31	AT1G01310	2	1.0
32	AT1G01320	3318	11.696098170955864
33	AT1G01335	1	0.0
34	AT1G01340	663	9.372865060112588
35	AT1G01350	161	7.330916878114617
36	AT1G01355	5	2.321928094887362
37	AT1G01360	120	6.906890595608519
38	AT1G01370	1	0.0
39	AT1G01380	1	0.0
40	AT1G01390	4	2.0
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	159	7.312882955284356
44	AT1G01430	231	7.851749041416057
45	AT1G01440	601	9.231221180711186
46	AT1G01450	66	6.044394119358453
47	AT1G01453	39	5.285402218862249
48	AT1G01460	1	0.0
49	AT1G01470	2119	11.04916787237217
50	AT1G01480	481	8.909893083770042
51	AT1G01490	1365	10.414685235807214
52	AT1G01500	178	7.475733430966398
53	AT1G01510	145	7.1799090900149345
54	AT1G01520	20	4.321928094887363
55	AT1G01530	1	0.0
56	AT1G01540	147	7.199672344836364
57	AT1G01550	3599	11.813380386924727
58	AT1G01560	1551	10.59898297103609
59	AT1G01570	8	3.0
60	AT1G01580	7	2.807354922057604
61	AT1G01590	1	0.0
62	AT1G01600	3	1.584962500721156
63	AT1G01610	258	8.011227255423254
64	AT1G01620	61	5.930737337562887
65	AT1G01630	732	9.515699838284043
66	AT1G01640	22	4.459431618637297
67	AT1G01650	1294	10.337621901992508
68	AT1G01660	19	4.247927513443585
69	AT1G01670	39	5.285402218862249
70	AT1G01680	416	8.700439718141093
71	AT1G01690	16	4.0
72	AT1G01695	6	2.584962500721156
73	AT1G01700	32	5.0
74	AT1G01710	419	8.710806433699352
75	AT1G01715	13	3.700439718141092
76	AT1G01720	1159	10.178664851006472
77	AT1G01725	110	6.78135971352466
78	AT1G01730	394	8.622051819456376
79	AT1G01740	95	6.569855608330948
80	AT1G01750	12	3.584962500721156
81	AT1G01760	14	3.807354922057604
82	AT1G01770	384	8.584962500721156
83	AT1G01780	187	7.546894459887636
84	AT1G01790	256	8.0
85	AT1G01800	415	8.696967526234287
86	AT1G01810	10	3.321928094887362
87	AT1G01820	928	9.857980995127573
88	AT1G01830	579	9.177419537989236
89	AT1G01840	1	0.0
90	AT1G01860	49	5.614709844115208
91	AT1G01880	6	2.584962500721156
92	AT1G01900	17	4.087462841250339
93	AT1G01910	473	8.885696373339394
94	AT1G01920	85	6.409390936137702
95	AT1G01930	128	7.0
96	AT1G01940	100	6.643856189774724
97	AT1G01950	188	7.554588851677638
98	AT1G01960	919	9.843921051289035
99	AT1G01970	66	6.044394119358453
100	AT1G01980	1	0.0
101	AT1G01990	123	6.94251450533924
102	AT1G02000	96	6.584962500721156
103	AT1G02010	76	6.247927513443585
104	AT1G02020	146	7.189824558880018
105	AT1G02030	4	2.0
106	AT1G02040	2	1.0
107	AT1G02050	47	5.554588851677638
108	AT1G02060	40	5.321928094887363
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	1847	10.850968150982439
113	AT1G02090	285	8.154818109052105
114	AT1G02100	436	8.768184324776927
115	AT1G02110	52	5.700439718141092
116	AT1G02120	1172	10.194756854422248
117	AT1G02130	166	7.3750394313469245
118	AT1G02140	562	9.134426320220927
119	AT1G02145	141	7.139551352398794
120	AT1G02150	262	8.03342300153745
121	AT1G02160	66	6.044394119358453
122	AT1G02170	814	9.668884984266247
123	AT1G02180	5	2.321928094887362
124	AT1G02190	1	0.0
125	AT1G02205	2	1.0
126	AT1G02210	1	0.0
127	AT1G02220	536	9.066089190457772
128	AT1G02230	32	5.0
129	AT1G02250	1	0.0
130	AT1G02260	322	8.330916878114618
131	AT1G02270	290	8.179909090014934
132	AT1G02280	110	6.78135971352466
133	AT1G02290	65	6.022367813028454
134	AT1G02300	384	8.584962500721156
135	AT1G02305	1892	10.885696373339394
136	AT1G02310	145	7.1799090900149345
137	AT1G02320	1	0.0
138	AT1G02330	209	7.7073591320808825
139	AT1G02335	5	2.321928094887362
140	AT1G02340	10	3.321928094887362
141	AT1G02350	6	2.584962500721156
142	AT1G02360	2012	10.974414589805527
143	AT1G02370	57	5.832890014164741
144	AT1G02380	23	4.523561956057013
145	AT1G02390	1019	9.992938336165814
146	AT1G02400	1498	10.54882190845875
147	AT1G02405	5	2.321928094887362
148	AT1G02410	257	8.005624549193879
149	AT1G02420	37	5.20945336562895
150	AT1G02430	27	4.754887502163468
151	AT1G02440	49	5.614709844115208
152	AT1G02450	68	6.087462841250339
