	Genes	Counts	log2_value
0	AT1G01010	122	6.930737337562887
1	AT1G01020	106	6.727920454563199
2	AT1G01030	12	3.584962500721156
3	AT1G01040	614	9.262094845370179
4	AT1G01050	248	7.954196310386875
5	AT1G01060	518	9.016808287686555
6	AT1G01070	92	6.523561956057013
7	AT1G01080	129	7.011227255423254
8	AT1G01090	587	9.197216693110052
9	AT1G01100	606	9.243173983472952
10	AT1G01110	2	1.0
11	AT1G01120	242	7.918863237274595
12	AT1G01130	4	2.0
13	AT1G01140	1241	10.277287400130357
14	AT1G01150	1	0.0
15	AT1G01160	254	7.9886846867721655
16	AT1G01170	213	7.734709620225838
17	AT1G01180	377	8.558420713268664
18	AT1G01190	3	1.584962500721156
19	AT1G01200	2	1.0
20	AT1G01210	52	5.700439718141092
21	AT1G01220	246	7.94251450533924
22	AT1G01225	2	1.0
23	AT1G01230	272	8.087462841250339
24	AT1G01240	351	8.45532722030456
25	AT1G01250	22	4.459431618637297
26	AT1G01260	494	8.948367231584678
27	AT1G01280	1	0.0
28	AT1G01290	97	6.599912842187128
29	AT1G01300	195	7.60733031374961
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	3324	11.698704666770345
33	AT1G01335	1	0.0
34	AT1G01340	663	9.372865060112588
35	AT1G01350	205	7.679480099505446
36	AT1G01355	5	2.321928094887362
37	AT1G01360	139	7.118941072723508
38	AT1G01370	3	1.584962500721156
39	AT1G01380	4	2.0
40	AT1G01390	4	2.0
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	145	7.1799090900149345
44	AT1G01430	217	7.7615512324444795
45	AT1G01440	616	9.266786540694902
46	AT1G01450	63	5.977279923499917
47	AT1G01453	43	5.426264754702098
48	AT1G01460	1	0.0
49	AT1G01470	2112	11.044394119358454
50	AT1G01480	463	8.854868383260236
51	AT1G01490	1327	10.373952655370193
52	AT1G01500	159	7.312882955284356
53	AT1G01510	134	7.066089190457772
54	AT1G01520	23	4.523561956057013
55	AT1G01530	1	0.0
56	AT1G01540	108	6.754887502163468
57	AT1G01550	3531	11.7858611057596
58	AT1G01560	1496	10.546894459887637
59	AT1G01570	10	3.321928094887362
60	AT1G01580	12	3.584962500721156
61	AT1G01590	1	0.0
62	AT1G01600	1	0.0
63	AT1G01610	280	8.129283016944967
64	AT1G01620	67	6.066089190457772
65	AT1G01630	747	9.544964432789238
66	AT1G01640	26	4.700439718141092
67	AT1G01650	1337	10.384783750093353
68	AT1G01660	17	4.087462841250339
69	AT1G01670	40	5.321928094887363
70	AT1G01680	448	8.807354922057604
71	AT1G01690	23	4.523561956057013
72	AT1G01695	5	2.321928094887362
73	AT1G01700	29	4.857980995127572
74	AT1G01710	406	8.665335917185176
75	AT1G01715	13	3.700439718141092
76	AT1G01720	1164	10.184875342908283
77	AT1G01725	84	6.392317422778761
78	AT1G01730	416	8.700439718141093
79	AT1G01740	84	6.392317422778761
80	AT1G01750	5	2.321928094887362
81	AT1G01760	28	4.807354922057604
