	Genes	Counts	log2_value
0	AT1G01010	126	6.977279923499917
1	AT1G01020	161	7.330916878114617
2	AT1G01030	9	3.169925001442312
3	AT1G01040	918	9.842350343413807
4	AT1G01050	438	8.774787059601174
5	AT1G01060	177	7.467605550082998
6	AT1G01070	89	6.475733430966398
7	AT1G01080	271	8.08214904135387
8	AT1G01090	798	9.640244936222345
9	AT1G01100	874	9.7714894695006
10	AT1G01110	3	1.584962500721156
11	AT1G01120	529	9.047123912114026
12	AT1G01130	10	3.321928094887362
13	AT1G01140	1498	10.54882190845875
14	AT1G01150	1	0.0
15	AT1G01160	359	8.487840033823051
16	AT1G01170	449	8.810571634741146
17	AT1G01180	354	8.467605550082997
18	AT1G01190	1	0.0
19	AT1G01200	4	2.0
20	AT1G01210	70	6.129283016944966
21	AT1G01220	368	8.523561956057012
22	AT1G01225	2	1.0
23	AT1G01230	414	8.693486957499324
24	AT1G01240	509	8.991521846075695
25	AT1G01250	69	6.108524456778169
26	AT1G01260	387	8.59618975614441
27	AT1G01280	1	0.0
28	AT1G01290	175	7.451211111832329
29	AT1G01300	745	9.541096615349524
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	3081	11.589182967039351
33	AT1G01335	1	0.0
34	AT1G01340	293	8.194756854422248
35	AT1G01350	211	7.721099188707186
36	AT1G01355	6	2.584962500721156
37	AT1G01360	135	7.076815597050831
38	AT1G01370	9	3.169925001442312
39	AT1G01380	9	3.169925001442312
40	AT1G01390	28	4.807354922057604
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	235	7.876516946564999
44	AT1G01430	809	9.659995892429977
45	AT1G01440	398	8.63662462054365
46	AT1G01450	160	7.321928094887363
47	AT1G01453	32	5.0
48	AT1G01460	1	0.0
49	AT1G01470	1710	10.73978060977326
50	AT1G01480	31	4.954196310386875
51	AT1G01490	1471	10.52258153125483
52	AT1G01500	251	7.971543553950772
53	AT1G01510	264	8.044394119358454
54	AT1G01520	8	3.0
55	AT1G01530	1	0.0
56	AT1G01540	285	8.154818109052105
57	AT1G01550	2887	11.495355392235982
58	AT1G01560	361	8.49585502688717
59	AT1G01570	12	3.584962500721156
60	AT1G01580	5	2.321928094887362
61	AT1G01590	1	0.0
62	AT1G01600	3	1.584962500721156
63	AT1G01610	987	9.946906274456397
64	AT1G01620	485	8.92184093707449
65	AT1G01630	1152	10.169925001442312
66	AT1G01640	40	5.321928094887363
67	AT1G01650	1399	10.450180247164754
68	AT1G01660	47	5.554588851677638
69	AT1G01670	64	6.0
70	AT1G01680	326	8.348728154231077
71	AT1G01690	27	4.754887502163468
72	AT1G01695	11	3.4594316186372973
73	AT1G01700	97	6.599912842187128
74	AT1G01710	583	9.187352073200497
75	AT1G01715	21	4.392317422778761
76	AT1G01720	625	9.287712379549449
77	AT1G01725	131	7.03342300153745
78	AT1G01730	481	8.909893083770042
79	AT1G01740	111	6.794415866350106
80	AT1G01750	4	2.0
81	AT1G01760	28	4.807354922057604
82	AT1G01770	321	8.326429487122303
83	AT1G01780	143	7.159871336778389
84	AT1G01790	413	8.689997971419446
85	AT1G01800	584	9.189824558880018
86	AT1G01810	10	3.321928094887362
87	AT1G01820	1062	10.052568050804153
88	AT1G01830	875	9.77313920671969
89	AT1G01840	1	0.0
90	AT1G01860	86	6.426264754702098
91	AT1G01880	13	3.700439718141092
92	AT1G01900	15	3.9068905956085187
93	AT1G01910	440	8.78135971352466
94	AT1G01920	190	7.569855608330948
95	AT1G01930	158	7.303780748177103
96	AT1G01940	145	7.1799090900149345
97	AT1G01950	319	8.31741261376487
98	AT1G01960	1727	10.754052367528924
99	AT1G01970	75	6.22881869049588
100	AT1G01980	1	0.0
101	AT1G01990	147	7.199672344836364
102	AT1G02000	93	6.539158811108031
103	AT1G02010	135	7.076815597050831
104	AT1G02020	242	7.918863237274595
105	AT1G02030	1	0.0
106	AT1G02040	3	1.584962500721156
107	AT1G02050	92	6.523561956057013
108	AT1G02060	112	6.807354922057604
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	2607	11.348174867535556
113	AT1G02090	207	7.693486957499325
114	AT1G02100	553	9.111135670234708
115	AT1G02110	128	7.0
116	AT1G02120	1612	10.654636028527968
117	AT1G02130	250	7.965784284662087
118	AT1G02140	661	9.368506461507693
119	AT1G02145	343	8.422064766172813
120	AT1G02150	498	8.960001932068081
121	AT1G02160	112	6.807354922057604
122	AT1G02170	622	9.280770770130603
123	AT1G02180	9	3.169925001442312
124	AT1G02190	1	0.0
125	AT1G02205	3	1.584962500721156
126	AT1G02210	1	0.0
127	AT1G02220	137	7.098032082960526
128	AT1G02230	29	4.857980995127572
129	AT1G02250	6	2.584962500721156
130	AT1G02260	502	8.971543553950772
131	AT1G02270	394	8.622051819456376
132	AT1G02280	229	7.839203788096944
133	AT1G02290	122	6.930737337562887
134	AT1G02300	736	9.523561956057012
135	AT1G02305	2292	11.162391328756906
136	AT1G02310	18	4.169925001442312
137	AT1G02320	4	2.0
138	AT1G02330	230	7.845490050944375
139	AT1G02335	22	4.459431618637297
140	AT1G02340	108	6.754887502163468
141	AT1G02350	24	4.584962500721156
142	AT1G02360	847	9.726218159332198
143	AT1G02370	159	7.312882955284356
144	AT1G02380	11	3.4594316186372973
145	AT1G02390	698	9.447083226209653
146	AT1G02400	678	9.405141463136344
147	AT1G02405	16	4.0
148	AT1G02410	236	7.882643049361842
149	AT1G02420	50	5.643856189774724
150	AT1G02430	24	4.584962500721156
151	AT1G02440	7	2.807354922057604
152	AT1G02450	34	5.087462841250339
153	AT1G02460	18	4.169925001442312
154	AT1G02470	474	8.888743248898258
155	AT1G02475	588	9.199672344836364
156	AT1G02490	1	0.0
157	AT1G02500	4380	12.096715154488535
158	AT1G02510	1	0.0
159	AT1G02520	17	4.087462841250339
160	AT1G02530	1	0.0
161	AT1G02540	1	0.0
162	AT1G02550	1	0.0
163	AT1G02560	2165	11.080151309614088
164	AT1G02570	1	0.0
165	AT1G02575	1	0.0
166	AT1G02580	17	4.087462841250339
167	AT1G02590	1	0.0
168	AT1G02610	94	6.554588851677638
169	AT1G02620	7	2.807354922057604
170	AT1G02630	1	0.0
171	AT1G02640	24	4.584962500721156
172	AT1G02650	8	3.0
173	AT1G02660	279	8.124121311829187
174	AT1G02670	12	3.584962500721156
175	AT1G02680	101	6.658211482751795
176	AT1G02690	35	5.129283016944966
177	AT1G02700	13	3.700439718141092
178	AT1G02705	1	0.0
179	AT1G02710	1	0.0
180	AT1G02720	26	4.700439718141092
181	AT1G02730	25	4.643856189774724
182	AT1G02740	109	6.768184324776926
183	AT1G02750	116	6.857980995127572
184	AT1G02770	18	4.169925001442312
185	AT1G02780	3550	11.793603309279407
186	AT1G02790	1	0.0
187	AT1G02800	1	0.0
188	AT1G02810	1	0.0
189	AT1G02813	1	0.0
190	AT1G02816	234	7.870364719583405
191	AT1G02820	32	5.0
192	AT1G02830	1	0.0
193	AT1G02840	1132	10.144658242831882
194	AT1G02850	551	9.105908508571158
195	AT1G02860	158	7.303780748177103
196	AT1G02870	116	6.857980995127572
197	AT1G02880	288	8.169925001442312
198	AT1G02890	1687	10.720244258287567
