	Genes	Counts	log2_value
0	AT1G01010	8	3.0
1	AT1G01020	35	5.129283016944966
2	AT1G01030	22	4.459431618637297
3	AT1G01040	75	6.22881869049588
4	AT1G01050	26	4.700439718141092
5	AT1G01060	3	1.584962500721156
6	AT1G01070	10	3.321928094887362
7	AT1G01080	52	5.700439718141092
8	AT1G01090	383	8.581200581924957
9	AT1G01100	107	6.7414669864011465
10	AT1G01110	1	0.0
11	AT1G01120	2921	11.51224664282918
12	AT1G01130	1	0.0
13	AT1G01140	594	9.214319120800766
14	AT1G01150	1	0.0
15	AT1G01160	53	5.727920454563199
16	AT1G01170	1	0.0
17	AT1G01180	244	7.930737337562887
18	AT1G01190	1	0.0
19	AT1G01200	1	0.0
20	AT1G01210	4	2.0
21	AT1G01220	59	5.882643049361842
22	AT1G01225	1	0.0
23	AT1G01230	252	7.977279923499917
24	AT1G01240	60	5.906890595608519
25	AT1G01250	2	1.0
26	AT1G01260	575	9.167418145831737
27	AT1G01280	1	0.0
28	AT1G01290	6	2.584962500721156
29	AT1G01300	13	3.700439718141092
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	313	8.290018846932618
33	AT1G01335	1	0.0
34	AT1G01340	586	9.194756854422248
35	AT1G01350	60	5.906890595608519
36	AT1G01355	1	0.0
37	AT1G01360	8	3.0
38	AT1G01370	1	0.0
39	AT1G01380	1	0.0
40	AT1G01390	2	1.0
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	4	2.0
44	AT1G01430	2	1.0
45	AT1G01440	331	8.370687406807217
46	AT1G01450	5	2.321928094887362
47	AT1G01453	1	0.0
48	AT1G01460	3	1.584962500721156
49	AT1G01470	109	6.768184324776926
50	AT1G01480	1127	10.138271800172221
51	AT1G01490	760	9.569855608330947
52	AT1G01500	124	6.954196310386875
53	AT1G01510	11	3.4594316186372973
54	AT1G01520	1	0.0
55	AT1G01530	1	0.0
56	AT1G01540	10	3.321928094887362
57	AT1G01550	2611	11.350386742312843
58	AT1G01560	605	9.240791332161956
59	AT1G01570	1	0.0
60	AT1G01580	1	0.0
61	AT1G01590	1	0.0
62	AT1G01600	1	0.0
63	AT1G01610	1	0.0
64	AT1G01620	5	2.321928094887362
65	AT1G01630	29	4.857980995127572
66	AT1G01640	1	0.0
67	AT1G01650	149	7.219168520462161
68	AT1G01660	1	0.0
69	AT1G01670	1	0.0
70	AT1G01680	1	0.0
71	AT1G01690	1	0.0
72	AT1G01695	1	0.0
73	AT1G01700	2	1.0
74	AT1G01710	373	8.543031820255237
75	AT1G01715	4	2.0
76	AT1G01720	640	9.321928094887362
77	AT1G01725	6	2.584962500721156
78	AT1G01730	154	7.266786540694901
79	AT1G01740	142	7.149747119504682
80	AT1G01750	2	1.0
81	AT1G01760	6	2.584962500721156
82	AT1G01770	208	7.700439718141092
83	AT1G01780	86	6.426264754702098
84	AT1G01790	49	5.614709844115208
85	AT1G01800	80	6.321928094887363
86	AT1G01810	1	0.0
87	AT1G01820	985	9.943979914343739
88	AT1G01830	5	2.321928094887362
89	AT1G01840	1	0.0
90	AT1G01860	1	0.0
91	AT1G01880	3	1.584962500721156
92	AT1G01900	1	0.0
93	AT1G01910	287	8.164906926675688
94	AT1G01920	6	2.584962500721156
95	AT1G01930	51	5.672425341971495
96	AT1G01940	55	5.78135971352466
97	AT1G01950	8	3.0
98	AT1G01960	100	6.643856189774724
99	AT1G01970	7	2.807354922057604
100	AT1G01980	2	1.0
101	AT1G01990	109	6.768184324776926
102	AT1G02000	40	5.321928094887363
103	AT1G02010	11	3.4594316186372973
104	AT1G02020	14	3.807354922057604
105	AT1G02030	2	1.0
106	AT1G02040	1	0.0
107	AT1G02050	9	3.169925001442312
108	AT1G02060	2	1.0
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	297	8.214319120800766
113	AT1G02090	88	6.459431618637297
114	AT1G02100	95	6.569855608330948
115	AT1G02110	8	3.0
116	AT1G02120	223	7.800899899920305
117	AT1G02130	68	6.087462841250339
118	AT1G02140	102	6.672425341971495
119	AT1G02145	15	3.9068905956085187
120	AT1G02150	27	4.754887502163468
121	AT1G02160	12	3.584962500721156
122	AT1G02170	1297	10.3409627642517
123	AT1G02180	5	2.321928094887362
124	AT1G02190	1	0.0
125	AT1G02205	3	1.584962500721156
126	AT1G02210	1	0.0
127	AT1G02220	753	9.556506054671928
128	AT1G02230	46	5.523561956057013
129	AT1G02250	1	0.0
130	AT1G02260	59	5.882643049361842
131	AT1G02270	39	5.285402218862249
132	AT1G02280	9	3.169925001442312
133	AT1G02290	1	0.0
134	AT1G02300	2	1.0
135	AT1G02305	190	7.569855608330948
136	AT1G02310	232	7.857980995127572
137	AT1G02320	1	0.0
138	AT1G02330	86	6.426264754702098
139	AT1G02335	1	0.0
140	AT1G02340	1	0.0
141	AT1G02350	2	1.0
142	AT1G02360	62	5.954196310386875
143	AT1G02370	1	0.0
144	AT1G02380	77	6.266786540694901
145	AT1G02390	351	8.45532722030456
146	AT1G02400	675	9.398743691938193
147	AT1G02405	35	5.129283016944966
148	AT1G02410	121	6.918863237274595
149	AT1G02420	5	2.321928094887362
150	AT1G02430	5	2.321928094887362
151	AT1G02440	1	0.0
152	AT1G02450	2	1.0
153	AT1G02460	20	4.321928094887363
154	AT1G02470	123	6.94251450533924
155	AT1G02475	138	7.108524456778169
156	AT1G02490	1	0.0
