	Genes	Counts	log2_value
0	AT1G01010	132	7.044394119358453
1	AT1G01020	169	7.400879436282184
2	AT1G01030	23	4.523561956057013
3	AT1G01040	1219	10.251482410620213
4	AT1G01050	872	9.768184324776927
5	AT1G01060	13575	13.728664577579087
6	AT1G01070	97	6.599912842187128
7	AT1G01080	717	9.485829308701904
8	AT1G01090	1767	10.787086324551616
9	AT1G01100	1231	10.265615046484458
10	AT1G01110	7	2.807354922057604
11	AT1G01120	502	8.971543553950772
12	AT1G01130	15	3.9068905956085187
13	AT1G01140	3200	11.643856189774725
14	AT1G01150	1	0.0
15	AT1G01160	363	8.50382573799575
16	AT1G01170	666	9.379378367071261
17	AT1G01180	511	8.997179480937621
18	AT1G01190	1	0.0
19	AT1G01200	2	1.0
20	AT1G01210	102	6.672425341971495
21	AT1G01220	505	8.980139577639157
22	AT1G01225	8	3.0
23	AT1G01230	339	8.405141463136344
24	AT1G01240	478	8.900866807980748
25	AT1G01250	38	5.247927513443585
26	AT1G01260	199	7.636624620543649
27	AT1G01280	1	0.0
28	AT1G01290	188	7.554588851677638
29	AT1G01300	215	7.7481928495894605
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	8113	12.986019773064076
33	AT1G01335	1	0.0
34	AT1G01340	557	9.121533517340032
35	AT1G01350	264	8.044394119358454
36	AT1G01355	17	4.087462841250339
37	AT1G01360	252	7.977279923499917
38	AT1G01370	16	4.0
39	AT1G01380	3	1.584962500721156
40	AT1G01390	199	7.636624620543649
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	431	8.751544059089099
44	AT1G01430	903	9.818582177480858
45	AT1G01440	425	8.731319031025064
46	AT1G01450	135	7.076815597050831
47	AT1G01453	12	3.584962500721156
48	AT1G01460	1	0.0
49	AT1G01470	503	8.974414589805527
50	AT1G01480	20	4.321928094887363
51	AT1G01490	2925	11.51422090935813
52	AT1G01500	222	7.794415866350106
53	AT1G01510	300	8.228818690495881
54	AT1G01520	158	7.303780748177103
55	AT1G01530	11	3.4594316186372973
56	AT1G01540	906	9.823367240046235
57	AT1G01550	3362	11.715104009236168
58	AT1G01560	61	5.930737337562887
59	AT1G01570	3	1.584962500721156
60	AT1G01580	60	5.906890595608519
61	AT1G01590	21	4.392317422778761
62	AT1G01600	1	0.0
63	AT1G01610	741	9.533329732305834
64	AT1G01620	577	9.172427508645482
65	AT1G01630	844	9.721099188707186
66	AT1G01640	45	5.491853096329675
67	AT1G01650	842	9.717676423066395
68	AT1G01660	14	3.807354922057604
69	AT1G01670	42	5.392317422778761
70	AT1G01680	50	5.643856189774724
71	AT1G01690	16	4.0
72	AT1G01695	1	0.0
73	AT1G01700	34	5.087462841250339
74	AT1G01710	631	9.30149619498255
75	AT1G01715	13	3.700439718141092
76	AT1G01720	391	8.611024797307353
77	AT1G01725	106	6.727920454563199
78	AT1G01730	408	8.672425341971495
79	AT1G01740	273	8.092757140919852
80	AT1G01750	12	3.584962500721156
81	AT1G01760	43	5.426264754702098
82	AT1G01770	299	8.224001674198105
83	AT1G01780	114	6.832890014164741
84	AT1G01790	3042	11.570804437724497
85	AT1G01800	1009	9.978710459106358
86	AT1G01810	10	3.321928094887362
87	AT1G01820	1136	10.149747119504681
88	AT1G01830	749	9.54882190845875
89	AT1G01840	4	2.0
90	AT1G01860	163	7.348728154231077
91	AT1G01880	15	3.9068905956085187
92	AT1G01900	1	0.0
93	AT1G01910	546	9.092757140919852
94	AT1G01920	180	7.491853096329675
95	AT1G01930	177	7.467605550082998
