	Genes	Counts	log2_value
0	AT1G01010	55	5.78135971352466
1	AT1G01020	39	5.285402218862249
2	AT1G01030	42	5.392317422778761
3	AT1G01040	107	6.7414669864011465
4	AT1G01050	51	5.672425341971495
5	AT1G01060	2	1.0
6	AT1G01070	4	2.0
7	AT1G01080	71	6.149747119504682
8	AT1G01090	725	9.501837184902296
9	AT1G01100	188	7.554588851677638
10	AT1G01110	2	1.0
11	AT1G01120	4123	12.009478745888066
12	AT1G01130	6	2.584962500721156
13	AT1G01140	731	9.513727595952437
14	AT1G01150	3	1.584962500721156
15	AT1G01160	92	6.523561956057013
16	AT1G01170	8	3.0
17	AT1G01180	260	8.022367813028454
18	AT1G01190	1	0.0
19	AT1G01200	1	0.0
20	AT1G01210	7	2.807354922057604
21	AT1G01220	89	6.475733430966398
22	AT1G01225	2	1.0
23	AT1G01230	297	8.214319120800766
24	AT1G01240	84	6.392317422778761
25	AT1G01250	1	0.0
26	AT1G01260	753	9.556506054671928
27	AT1G01280	2	1.0
28	AT1G01290	22	4.459431618637297
29	AT1G01300	24	4.584962500721156
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	403	8.654636028527968
33	AT1G01335	1	0.0
34	AT1G01340	787	9.620219825507487
35	AT1G01350	97	6.599912842187128
36	AT1G01355	1	0.0
37	AT1G01360	16	4.0
38	AT1G01370	7	2.807354922057604
39	AT1G01380	1	0.0
40	AT1G01390	1	0.0
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	4	2.0
44	AT1G01430	3	1.584962500721156
45	AT1G01440	448	8.807354922057604
46	AT1G01450	11	3.4594316186372973
47	AT1G01453	1	0.0
48	AT1G01460	10	3.321928094887362
49	AT1G01470	123	6.94251450533924
50	AT1G01480	1379	10.429406741513981
51	AT1G01490	875	9.77313920671969
52	AT1G01500	148	7.20945336562895
53	AT1G01510	30	4.906890595608519
54	AT1G01520	1	0.0
55	AT1G01530	1	0.0
56	AT1G01540	25	4.643856189774724
57	AT1G01550	3116	11.605479518061669
58	AT1G01560	701	9.453270634010623
59	AT1G01570	3	1.584962500721156
60	AT1G01580	1	0.0
61	AT1G01590	1	0.0
62	AT1G01600	1	0.0
63	AT1G01610	2	1.0
64	AT1G01620	10	3.321928094887362
65	AT1G01630	37	5.20945336562895
66	AT1G01640	1	0.0
67	AT1G01650	207	7.693486957499325
68	AT1G01660	1	0.0
69	AT1G01670	4	2.0
70	AT1G01680	1	0.0
71	AT1G01690	1	0.0
72	AT1G01695	2	1.0
73	AT1G01700	1	0.0
74	AT1G01710	521	9.025139562278508
75	AT1G01715	16	4.0
76	AT1G01720	1053	10.040289721025717
77	AT1G01725	26	4.700439718141092
78	AT1G01730	148	7.20945336562895
79	AT1G01740	281	8.134426320220927
80	AT1G01750	5	2.321928094887362
81	AT1G01760	7	2.807354922057604
82	AT1G01770	281	8.134426320220927
83	AT1G01780	96	6.584962500721156
84	AT1G01790	80	6.321928094887363
85	AT1G01800	153	7.257387842692652
86	AT1G01810	1	0.0
87	AT1G01820	1125	10.1357092861044
88	AT1G01830	17	4.087462841250339
89	AT1G01840	1	0.0
90	AT1G01860	8	3.0
91	AT1G01880	1	0.0
92	AT1G01900	3	1.584962500721156
93	AT1G01910	349	8.447083226209653
94	AT1G01920	24	4.584962500721156
95	AT1G01930	76	6.247927513443585
96	AT1G01940	134	7.066089190457772
97	AT1G01950	32	5.0
98	AT1G01960	148	7.20945336562895
99	AT1G01970	11	3.4594316186372973
100	AT1G01980	1	0.0
101	AT1G01990	196	7.614709844115208
102	AT1G02000	61	5.930737337562887
103	AT1G02010	16	4.0
104	AT1G02020	14	3.807354922057604
105	AT1G02030	2	1.0
106	AT1G02040	1	0.0
107	AT1G02050	7	2.807354922057604
108	AT1G02060	1	0.0
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	543	9.084808387804362
113	AT1G02090	135	7.076815597050831
114	AT1G02100	207	7.693486957499325
115	AT1G02110	15	3.9068905956085187
116	AT1G02120	347	8.43879185257826
117	AT1G02130	77	6.266786540694901
118	AT1G02140	165	7.366322214245816
119	AT1G02145	18	4.169925001442312
120	AT1G02150	51	5.672425341971495
121	AT1G02160	34	5.087462841250339
122	AT1G02170	1407	10.458406613236534
123	AT1G02180	8	3.0
124	AT1G02190	2	1.0
125	AT1G02205	1	0.0
126	AT1G02210	1	0.0
127	AT1G02220	1798	10.812177305514448
128	AT1G02230	96	6.584962500721156
129	AT1G02250	1	0.0
130	AT1G02260	134	7.066089190457772
131	AT1G02270	76	6.247927513443585
132	AT1G02280	13	3.700439718141092
133	AT1G02290	2	1.0
134	AT1G02300	7	2.807354922057604
135	AT1G02305	266	8.055282435501189
136	AT1G02310	242	7.918863237274595
137	AT1G02320	1	0.0
138	AT1G02330	159	7.312882955284356
139	AT1G02335	2	1.0
140	AT1G02340	1	0.0
141	AT1G02350	3	1.584962500721156
142	AT1G02360	85	6.409390936137702
143	AT1G02370	3	1.584962500721156
144	AT1G02380	74	6.20945336562895
145	AT1G02390	409	8.67595703294175
146	AT1G02400	1043	10.026523442519766
147	AT1G02405	36	5.169925001442312
148	AT1G02410	168	7.392317422778761
149	AT1G02420	12	3.584962500721156
150	AT1G02430	5	2.321928094887362
151	AT1G02440	1	0.0
152	AT1G02450	3	1.584962500721156
153	AT1G02460	15	3.9068905956085187
154	AT1G02470	186	7.539158811108031
155	AT1G02475	256	8.0
156	AT1G02490	1	0.0
157	AT1G02500	4348	12.086136225027309
158	AT1G02510	1	0.0
159	AT1G02520	7	2.807354922057604
160	AT1G02530	1	0.0
161	AT1G02540	1	0.0
162	AT1G02550	1	0.0
163	AT1G02560	347	8.43879185257826
164	AT1G02570	33	5.044394119358453
165	AT1G02575	1	0.0
166	AT1G02580	38	5.247927513443585
167	AT1G02590	1	0.0
168	AT1G02610	51	5.672425341971495
169	AT1G02620	1	0.0
170	AT1G02630	1	0.0
171	AT1G02640	3	1.584962500721156
172	AT1G02650	3	1.584962500721156
173	AT1G02660	1802	10.815383295813538
174	AT1G02670	189	7.562242424221073
175	AT1G02680	29	4.857980995127572
176	AT1G02690	5	2.321928094887362
177	AT1G02700	1	0.0
178	AT1G02705	1	0.0
179	AT1G02710	1	0.0
